date,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum,pred
2024-06-15,15.800000190734863,11.899999618530272,60411.890625,23942.23828125,6.75,6.75,24.0,37.29607009887695,21.030000686645508,14.652797219516643
2024-06-16,16.299999237060547,11.699999809265137,60443.7890625,25901.65625,6.550000190734863,6.650000095367432,19.0,28.55142593383789,21.959999084472656,15.53327206512899
2024-06-17,17.200000762939453,12.149999618530272,60469.33984375,50643.421875,6.699999809265137,6.699999809265137,6.0,22.288042068481445,26.799999237060547,21.21374112142184
2024-06-18,18.450000762939453,10.449999809265137,60488.44921875,1817.669921875,3.849999904632568,6.800000190734863,6.0,9.007196426391602,14.229999542236328,10.37240038020628
2024-06-19,16.950000762939453,10.699999809265137,60501.04296875,53977.30859375,5.900000095367432,6.599999904632568,9.0,17.533145904541016,26.76000022888184,21.091983396584464
2024-06-20,19.100000381469727,9.600000381469728,60507.05078125,35390.859375,6.800000190734863,6.849999904632568,3.0,13.97987174987793,18.450000762939453,16.335765522030144
2024-06-21,19.450000762939453,12.449999809265137,60506.3984375,0.0,3.650000095367432,6.75,12.0,13.27614402770996,13.020000457763672,8.748588582421192
2024-06-22,17.75,14.149999618530272,60499.00390625,50536.9609375,6.400000095367432,6.800000190734863,0.0,21.48569679260254,26.96999931335449,21.56950608991683
2024-06-23,20.700000762939453,13.350000381469728,60484.9609375,52874.296875,7.0,7.0,0.0,15.629972457885742,28.57999992370605,23.240723249372188
2024-06-24,22.89999961853028,11.149999618530272,60464.34765625,54275.1328125,7.050000190734863,7.050000190734863,0.0,12.015588760375977,26.15999984741211,22.591279280068182
2024-06-25,25.950000762939453,15.649999618530272,60437.24609375,54246.69140625,7.050000190734863,7.050000190734863,0.0,17.309972763061523,27.670000076293945,22.986085532345907
2024-06-26,30.64349937438965,19.693500518798828,60403.7734375,54037.48828125,7.0,7.0,0.0,13.3637113571167,28.6299991607666,23.051040122241158
2024-06-28,19.99349975585937,16.543498992919922,60318.12109375,54067.23828125,6.75,6.75,3.0,24.944129943847656,28.850000381469727,22.465688447508853
2024-06-29,22.29349899291992,14.743499755859377,60266.15625,46148.609375,6.550000190734863,6.900000095367432,3.0,14.75999927520752,25.190000534057617,20.308111046324505
2024-06-30,20.64349937438965,15.243499755859377,60208.25,14781.708984375,6.449999809265137,6.800000190734863,8.0,14.75999927520752,11.850000381469728,9.732621232541074
2024-07-01,18.29349899291992,14.643499374389648,60144.53125,30061.38671875,5.150000095367432,6.650000095367432,15.0,16.919998168945312,15.529999732971191,11.903143631510002
2024-07-02,17.0935001373291,14.443499565124512,60075.109375,21048.462890625,3.75,6.75,10.0,18.35999870300293,12.880000114440918,10.063463315611255
2024-07-03,17.493499755859375,12.443499565124512,60000.12109375,9293.1640625,5.949999809265137,6.550000190734863,17.0,23.03999900817871,9.06999969482422,7.036607749258641
2024-07-04,18.04349899291992,14.743499755859377,59919.6953125,46800.0,6.75,6.75,4.0,26.280000686645508,26.65999984741211,20.84540437735977
2024-07-05,17.043498992919922,14.993499755859377,59833.9453125,2869.810546875,4.550000190734863,6.5,12.0,21.959999084472656,4.650000095367432,3.7863176187359295
2024-07-06,19.81100082397461,12.511000633239746,59743.02734375,41077.3515625,6.599999904632568,6.650000095367432,21.0,42.366966247558594,20.90999984741211,16.458971147808626
2024-07-07,16.886999130249023,12.211000442504885,59647.04296875,26330.9609375,4.550000190734863,6.599999904632568,9.0,18.79255104064941,14.4399995803833,11.827352858999607
2024-07-08,19.437000274658203,13.337000846862791,59546.16015625,40212.67578125,6.449999809265137,6.650000095367432,6.0,12.722829818725586,19.8700008392334,16.419868066732164
2024-07-09,26.211000442504883,15.611000061035156,59440.47265625,19655.287109375,5.550000190734863,6.699999809265137,6.0,13.5706148147583,14.899999618530272,12.232300134033256
2024-07-10,20.711000442504883,16.56100082397461,59330.16015625,36821.59375,6.5,6.550000190734863,4.0,22.32290267944336,19.34000015258789,15.688272109727595
2024-07-11,18.461000442504883,14.761000633239746,59215.10546875,44514.453125,4.800000190734863,6.550000190734863,0.0,18.91970443725586,22.959999084472656,18.46099698881539
2024-07-18,23.799999237060547,11.300000190734863,58258.6796875,51322.53125,6.599999904632568,6.599999904632568,0.0,10.538843154907228,24.3700008392334,21.15046512048683
2024-07-19,29.31100082397461,17.51099967956543,58103.2421875,52009.6015625,6.599999904632568,6.599999904632568,0.0,11.592894554138184,24.93000030517578,20.918286632300994
2024-07-20,30.11100006103516,18.81100082397461,57943.82421875,51425.33984375,6.650000095367432,6.650000095367432,0.0,14.404499053955078,24.64999961853028,20.693025664693817
2024-07-21,21.711000442504883,16.711000442504883,57780.65625,33362.58984375,5.900000095367432,6.5,4.0,14.372974395751951,17.15999984741211,14.20222907557676
2024-07-22,20.36100006103516,15.31100082397461,57613.97265625,37239.48828125,6.5,6.5,0.0,22.59699058532715,17.700000762939453,15.558086697329394
2024-07-23,19.58699989318848,16.23699951171875,57443.99609375,43357.4921875,6.349999904632568,6.349999904632568,6.0,19.37321853637696,18.489999771118164,15.467816457692201
2024-07-24,19.786998748779297,14.78700065612793,57270.9375,50597.83203125,6.5,6.5,0.0,9.904906272888184,24.420000076293945,20.15028893788116
2024-07-25,21.700000762939453,13.949999809265137,57095.01171875,8279.3994140625,3.150000095367432,6.449999809265137,11.0,23.50775146484375,16.020000457763672,11.33153183661293
2024-07-26,19.5,14.399999618530272,56916.42578125,46931.15234375,6.349999904632568,6.349999904632568,10.0,20.65847969055176,22.25,17.88719518913166
2024-07-27,21.39999961853028,13.350000381469728,56735.375,51406.046875,6.300000190734863,6.300000190734863,14.0,12.24529266357422,23.11000061035156,18.50526582009091
2024-07-28,20.39999961853028,14.300000190734863,56552.07421875,51880.53125,6.300000190734863,6.300000190734863,1.0,14.021525382995604,25.65999984741211,20.917006043750927
2024-07-29,24.25,13.449999809265137,56366.703125,51694.90625,5.949999809265137,6.400000095367432,0.0,11.60965061187744,25.59000015258789,21.479391822184418
2024-07-30,27.200000762939453,16.049999237060547,56179.4453125,50829.7421875,6.349999904632568,6.449999809265137,0.0,13.246826171875,24.799999237060547,20.938051700125495
2024-07-31,24.350000381469727,16.700000762939453,55990.1953125,50433.8359375,6.0,6.349999904632568,0.0,16.70415496826172,22.8799991607666,19.409665851607244
2024-08-07,20.850000381469727,17.600000381469727,54574.6484375,38080.3046875,6.099999904632568,6.099999904632568,4.0,21.25219917297364,24.13999938964844,18.369897828009016
2024-08-08,21.700000762939453,17.700000762939453,54362.01171875,46914.8984375,6.050000190734863,6.099999904632568,8.0,25.460935592651367,23.209999084472656,18.329508261314782
2024-08-09,21.14999961853028,16.0,54147.4296875,31559.34765625,6.150000095367432,6.150000095367432,16.0,34.62369155883789,16.09000015258789,13.033102199941537
2024-08-10,20.700000762939453,17.200000762939453,53931.11328125,32198.681640625,6.099999904632568,6.099999904632568,0.0,26.756500244140625,19.15999984741211,15.775858192680893
2024-08-11,24.600000381469727,16.799999237060547,53713.25390625,48373.109375,6.099999904632568,6.099999904632568,0.0,16.904672622680664,22.1299991607666,18.909342322815277
2024-08-12,29.5,16.700000762939453,53494.05078125,48621.03515625,6.099999904632568,6.099999904632568,0.0,18.584508895874023,23.290000915527344,20.078307253696085
2024-08-13,25.600000381469727,19.75,53273.69140625,42683.16015625,5.199999809265137,6.0,3.0,15.905319213867188,17.920000076293945,15.231438942256666
2024-08-14,25.11100006103516,17.711000442504883,53052.35546875,44216.93359375,5.150000095367432,6.0,5.0,12.55879020690918,16.3700008392334,14.595850072303195
2024-08-15,23.51099967956543,17.81100082397461,52830.21484375,48068.109375,5.349999904632568,5.949999809265137,1.0,27.729347229003903,20.209999084472656,17.51036082801875
2024-08-16,21.286998748779297,16.136999130249023,52607.44921875,28748.90234375,4.349999904632568,5.75,7.0,22.915916442871097,12.06999969482422,10.67168854153837
2024-08-17,23.08699989318848,14.237000465393066,52384.21875,47170.64453125,5.849999904632568,5.849999904632568,0.0,12.096214294433594,22.549999237060547,19.1652114305017
