date,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum
2024-04-14,13.054500579833984,8.404500007629395,50030.6171875,39096.578125,5.199999809265137,5.349999904632568,0.0,20.51999855041504,19.530000686645508
2024-04-15,10.054500579833984,7.4045000076293945,50269.41015625,13636.701171875,3.200000047683716,4.949999809265137,14.0,37.165531158447266,6.360000133514404
2024-04-16,10.804500579833984,6.9045000076293945,50507.03125,16626.822265625,4.199999809265137,5.150000095367432,12.0,41.493804931640625,8.270000457763672
2024-04-17,9.054500579833984,4.054500102996826,50743.296875,38751.578125,5.050000190734863,5.25,9.0,18.440998077392578,14.34000015258789
2024-04-18,10.404500007629395,2.9045000076293945,50978.03125,33636.046875,5.349999904632568,5.400000095367432,2.0,22.104116439819336,15.109999656677246
2024-04-19,10.104499816894531,7.1045002937316895,51211.046875,19444.287109375,5.099999904632568,5.25,20.0,33.44901657104492,10.109999656677246
2024-04-20,9.104499816894531,6.254500389099121,51442.140625,19605.1640625,5.150000095367432,5.449999809265137,6.0,26.081993103027344,9.470000267028809
2024-04-21,10.304500579833984,4.054500102996826,51671.12890625,46656.59375,5.25,5.349999904632568,6.0,27.059932708740234,17.25
2024-04-22,9.554500579833984,2.254499912261963,51898.109375,43506.68359375,5.0,5.400000095367432,1.0,18.07902717590332,17.90999984741211
2024-04-23,9.554500579833984,0.2044999897480011,52124.765625,32372.16015625,5.550000190734863,5.599999904632568,4.0,17.78268814086914,17.399999618530273
2024-04-24,9.054500579833984,5.6545000076293945,52351.2421875,40694.66015625,5.550000190734863,5.550000190734863,12.0,21.794126510620117,16.170000076293945
2024-04-25,9.604499816894531,4.554500102996826,52577.38671875,3969.274658203125,5.300000190734863,5.599999904632568,7.0,19.08339500427246,9.069999694824219
